product_name,review_title,review_text,review_rating,helpful_count
"adidas Women's Retrorun Shoes Running, Core Black/Cloud White/Alumina, 8 UK",NO SUPPORT! NOT FOR RUNNING!,I would NOT recommend these for running. They have zero support and I could feel the rocks in the ground through the shoe. They are also shaped really weird. The sole protrudes out in the back all around the heel and makes your foot appear much larger than it should.,1,19 people found this helpful
"Aravon Women's Betty-AR Oxfords, Stone, 5.5 UK",Not as supportive as I had hoped for.,"These shoes are cute online but in person...not so much.The shoe is super light weight and flimsy feeling.  Because of this, it feels as if there is no support/stability.My partial orthotic fit well into the heel of the shoe.The shoe not only has aqua-colored accents (shoe string eyelets) but also has an aqua liner throughout the shoe. As I was slipping my socked foot into the shoe for the first time, that inner liner sort of bunched up and made the shoe top look distorted. As if the liner pushed forward and down causing the upper portion and toe of the shoe to twist upward.  Not a nice look.  At that point I decided that I didn't want to struggle with getting the shoe on each time.  I'm returning them.",1,12 people found this helpful
"adidas Women's Retrorun Shoes Running, Core Black/Cloud White/Alumina, 8 UK",Great pair of shoes!,"Very comfortable! Absolutely love the look and feel of these shoes. They run slightly too big. But, that doesn't take away from the comfort. I'm not sliding around inside them. I'm able to work in them well and workout in them great. Excellent pair of shoes.",4,11 people found this helpful
"Aravon Women's Betty-AR Oxfords, Stone, 5.5 UK",Can’t wear due to Poorly designed insoles,"I like the style and weight of this shoe, just right for wearing all day.  Good quality components.  However, as other reviewers have said, the insole makes wearing these shoes impossible.  The surface of the insoles is some attractive suede fabric which looks like it will be very comfortable.  In fact, the fabric prevents your foot from sliding into the shoe.  I forced my feet in and my toes were uncomfortably turned in on them selves, I could not possibly wear these shoes like that.  I tried stockings and different types of socks with the same difficulty, I just could not push my foot smoothly into the shoe.  Then I tried taking the insole out of another pair of sneakers and putting them in the Aragon’s.  My foot slid right in but when I walked there was no arch support.  Dilemma, should I send them back or go buy 6 or 7 sets of insoles at the drug store to see if any of them will work.  So disappointing.",3,One person found this helpful
"adidas Women's Retrorun Shoes Running, Core Black/Cloud White/Alumina, 8 UK",Tongue rubs ankles raw,"The tongue is long, stiff, and rough. It rubs my ankles raw.",2,13 people found this helpful
"Aravon Women's Betty-AR Oxfords, Stone, 5.5 UK",What I was looking for,"I have been trying to find a casual, but not too casual, shoe for work. I wanted an athletic shoe fit in a shoe that doesn't look like an athletic shoe. This is pretty close. It works well with chinos or colored denim. They would not look right with ""dress"" pants, but for business casual, it's good. I'm always between 8 and 8.5. I went with an 8 and they fit perfectly.  I also need good support and these are reasonable. I have another pair of Aravon shoes (mary jane) and they also work well. I think this is good brand.",4,2 people found this helpful
"adidas Women's Retrorun Shoes Running, Core Black/Cloud White/Alumina, 8 UK",Not for slippery surfaces/no tread,I thought they were really cute and fit good but after I decided to wear them around for a day I mopped the floor like I Do every day and I almost slipped so the shoes will not be good for me and my lifestyle very slippery pretty much no tread it would be good for walking as long as you’re never honest with Service but I wouldn’t want to take my chances so back to Searching for a new pair of shoes,3,2 people found this helpful
"Aravon Women's Betty-AR Oxfords, Stone, 5.5 UK",but it's frequent enough with certain socks that it becomes annoying to have to stop and pull my socks up ...,"I'd give them 5 stars if it weren't for the fact that the material on the inside of the shoe keeps pulling on my socks, it's not all the time, but it's frequent enough with certain socks that it becomes annoying to have to stop and pull my socks up which find their way down into my shoes after walking for 10-15 min, also the laces don't seem to stay tied, my recommendation is to buy socks that are really snug around your ankles and use a different pair of laces.... besides that, I think the shoes are really cute, love the choice of brown and blue, I think they work well together, also the shoe has pretty good support, I use my own inserts which fit well in the shoe, but like I said if you don't, the original inserts are pretty good",4,One person found this helpful
"adidas Women's Retrorun Shoes Running, Core Black/Cloud White/Alumina, 8 UK",Super cuter sneakers.,I bought these as a birthday present for myself. I originally wanted to use them as my new jogging shoes. The tongue of the shoe is just too stiff for that though. I am still happy with the shoes cuz they are super cute. Besides the stiff tongue my only other complaint is they seem a tad larger than my other size tens. I have a little more space than I like to have. Otherwise completely awesome!,5,4 people found this helpful
"Aravon Women's Betty-AR Oxfords, Stone, 5.5 UK","Cute, but small","I was so excited to find these shoes. They are super cute!  They were too small, however, and I cannot find the larger size I need.  When I tried them on, they were really stiff and a bit tight.  Who knows maybe they would stretch out as I wore them, but they just didn't fit.  I am disappointed that I can't find the size I need anywhere, but will keep looking.",4,
"Aravon Women's Betty-AR Oxfords, Stone, 5.5 UK",Nice lightweight comfort shoe,"It's a very comfortable and lightweight shoe.  I found it to be pretty true for a size 10, but all shoes run differently.  Other reviews said it ran small, but I didn't find that the case. I bought the 10D width.  The wider width doesn't look odd, it fits the shoe well and my foot.",5,9 people found this helpful
"Aravon Women's Betty-AR Oxfords, Stone, 5.5 UK",Total Comfort,Two years ago I bought this same exact shoes.  I wore them always when choosing a stylish athletic shoe. Originally I bought them when our family was going to go to The Ark in Kentucky and knew we would be doing alot of walking.there has never been a time that my feet hurt when I wear these shoes. And I get compliments often as to how cute they look.  So best shoes for me for comfort and style! Bought them again to update and bought an additional pair in black.,5,2 people found this helpful
"Merrell Boys' Burnt Rock Low Sneaker, Black, 13.5 Medium US Little Kid","May work for a ""B"" width foot","Grandson couldn't even get them on, they are so tightly cut.",3,
"Merrell Boys' Burnt Rock Low Sneaker, Black, 13.5 Medium US Little Kid",Fell apart after one week,"The laces broke after slightly over one week of use. Horrible quality. Before it broke, my son complained it was very uncomfortable, as the metal grommets on the sides rub against the side of his foot.",1,
"adidas Daily 3.0 Skate Shoe, Grey, 3 US Unisex Little Kid",Nice Shoes,Nice pair of shoes,5,
"adidas Daily 3.0 Skate Shoe, Grey, 3 US Unisex Little Kid",Thank you!,"These shoes are cute and jus fine. I wanted to comment on the company actually. I bought these for a wedding for my son to wear and they weren’t going to arrive in time.  I reached out to Amazon with no luck. I finally contacted the company directly and they said they didn’t think they could get them to me in time because of how the process works. However, I literally received these the very next day. Whoever I spoke to, thank you, you obviously went out of your way to get these pulled and shipped to me and I can’t thank you enough. They made it on time and the wedding was gorgeous!!My son kept the shoes on all night and now wears them when he wants to dress up casual  ..he says they are comfy and shoe laces are long enough he can tie them easily",5,3 people found this helpful
"adidas Daily 3.0 Skate Shoe, Grey, 3 US Unisex Little Kid",Not your average skate shoe. They’re attractive!,"When my 8 year old asked for “skate shoes”, I could only picture AirWalks or Vans (which are cute, but don’t fit their wide feet well). I began searching and found these. They are not just skate shoes, but also adorable and good, Adidas quality.",5,6 people found this helpful
"adidas Daily 3.0 Skate Shoe, Grey, 3 US Unisex Little Kid",Great shoe - great price - runs big,"Great looking shoe at a great price! I got these in the gray with black stripes and the black with white stripes. Looks exactly like the ones I got from the store that were $20 more. They run big. I wear a women’s 7 in most shoes. I measured my foot on the big kids Adidas size chart and according to it, I should get a 6.5. I got the 6 because they didn’t have any other sizes and based on other reviews from women I was hoping they would work out. They’re big. I measured them against the men’s 7 I had from the store and there wasn’t much difference between the 6 and 7. They measured the same as the men’s 6.5 I had from the store. I would’ve ordered a 5 if they were available. It’s hard to guess with the weird sizing situation. Hopefully putting in some insoles will help because I want to keep them.",5,
"adidas Daily 3.0 Skate Shoe, Grey, 3 US Unisex Little Kid",My son loves these shoes,Very nice shoes. Got them when they were on sale and they are really nice.,5,
"adidas Daily 3.0 Skate Shoe, Grey, 3 US Unisex Little Kid",Comfortable in style,The shoes fit as expected. I bought these for my seven year old son. He loves how comfortable they are. Definitely worth the buy!,5,
"adidas Daily 3.0 Skate Shoe, Grey, 3 US Unisex Little Kid",Very cute,Kid loves them. Good fit and comfortable.,5,
"adidas Daily 3.0 Skate Shoe, Grey, 3 US Unisex Little Kid",Very comfortable,These shoes fit well and are comfortable.,5,
"adidas Daily 3.0 Skate Shoe, Grey, 3 US Unisex Little Kid",Stylish with a sturdy canvas and a thick sole.,"My son likes it. However he said it's heavy. Other than that, it's a great shoe.",5,
"adidas Daily 3.0 Skate Shoe, Grey, 3 US Unisex Little Kid",Awesome!!!,"Brought these for my grandson,  and I'm told it fits him perfectly and he loves them.  He don't ever want to take them off.",5,
"PUMA EL Rey 2 Slip ON Sneaker, Desert Sage-Gray Violet, 5 US Unisex Big Kid",Too Hard For My Son To Get On,It’s a tight fit! The top part doesn’t open so it made  it super hard for my son to get the shoe on. We ended up returning the shoes! If #Puma will make it so that the top part can open and then possible Velcro closed or maybe zipper it would be awesome so kids can easily slide their feet in!!,1,One person found this helpful
"PUMA EL Rey 2 Slip ON Sneaker, Desert Sage-Gray Violet, 5 US Unisex Big Kid",Good Quality,This product fits well but may not be ideal for a child that has wide feet. The strap across the top has some stretch but it is very thick and does not stretch easily which may make it difficult for a wider foot to get pass that section. The entire shoe is made very well.,5,
"PUMA EL Rey 2 Slip ON Sneaker, Desert Sage-Gray Violet, 5 US Unisex Big Kid",Tight fit,Difficult to put on. They are too hard.,3,2 people found this helpful
"PUMA EL Rey 2 Slip ON Sneaker, Desert Sage-Gray Violet, 5 US Unisex Big Kid",Son says awesome shoes; mom says go down a size,Son loves them and is willing to double up in sock layers to make fit. Would recommend going a half size down. My son is 4.5 big kids by size measurements but could easily have fit for a long while in a 4,4,
"PUMA EL Rey 2 Slip ON Sneaker, Desert Sage-Gray Violet, 5 US Unisex Big Kid",Love them,My Grandson loves his Puma's and so do I ❣️,5,
"PUMA EL Rey 2 Slip ON Sneaker, Desert Sage-Gray Violet, 5 US Unisex Big Kid",wrong  shoes size came,I order  a size 11 kids size shoes received  and 10 it's very tight on my child foot. elastic  that run across cant expands.  sorry I every purchased  this damn shoes,1,
"Camper Men's Formiga Chukka Boat, Black, 5.5","Nice, but no Camper 'feeling'","Very nice boots. I had hoped the shoe laces would be flexible and integrated like most Camper shoes. Here you get regular laces, and as such, you don't get the Camper 'feeling' or practicality of putting them on and off quickly. They are quite light, which is a plus.",4,
"Desconocido Women's Multisport W148 Kso Lace-Up Flats black Size:, Negro (Schwarz (Black)), 2 UK (34 EU)",Not What I Expected,It took me a half hour to get these shoes on. Not practical. I returned the item and am still waiting for my refund.,2,One person found this helpful
"ASICS Men's EVORIDE 2 Running Shoe, French Blue Hazard Green, 7 UK",Great shoe for the price,The shoe is responsive and that is good. But it would be better to have longer shoe laces,4,
"ASICS Men's EVORIDE 2 Running Shoe, French Blue Hazard Green, 7 UK",running shoes,love my running shoes!!,5,
Toddler/Little Kid Girl's Ballet Flat Ankle Strap Shoes Party Dress Shoes Black Size: 7 Toddler,Much smaller than the size they say,"These were waaaay smaller than the size they were supposed to be.Cute shoes tho.i bought them for my 6 yr old ,but they fit my 4 yr old.so,if you order them,get them 2 sizes bigger than you usually would get.",2,
Toddler/Little Kid Girl's Ballet Flat Ankle Strap Shoes Party Dress Shoes Black Size: 7 Toddler,Shoe size,My daughter was size 7 I ordered a size 9 they were still very tight. I'd say size up 10 they would fit perfectly. They super cute otherwise,5,
Toddler/Little Kid Girl's Ballet Flat Ankle Strap Shoes Party Dress Shoes Black Size: 7 Toddler,The shoes run at least 3 sizes small.,"4 stars for sizing issue. Not true to size at all. They run very small. But after return and requesting 3 sizes bigger, we are pleased. The shoes are cute in person than in pic.",4,One person found this helpful
Toddler/Little Kid Girl's Ballet Flat Ankle Strap Shoes Party Dress Shoes Black Size: 7 Toddler,Nice product very decent for the holidays,Honestly look way better in person does not look super cheap in the bowl detail is very decent,4,
Toddler/Little Kid Girl's Ballet Flat Ankle Strap Shoes Party Dress Shoes Black Size: 7 Toddler,rans small,"real cute but ran small, loved the look but had to return",4,
Toddler/Little Kid Girl's Ballet Flat Ankle Strap Shoes Party Dress Shoes Black Size: 7 Toddler,I got the wrong size,To small for my granddaughter,1,
Toddler/Little Kid Girl's Ballet Flat Ankle Strap Shoes Party Dress Shoes Black Size: 7 Toddler,"Runs smaller, quality is good",Runs smaller than the actual size.,3,
Toddler/Little Kid Girl's Ballet Flat Ankle Strap Shoes Party Dress Shoes Black Size: 7 Toddler,Run small,Very cute but they run small. Returned it.,2,
Toddler/Little Kid Girl's Ballet Flat Ankle Strap Shoes Party Dress Shoes Black Size: 7 Toddler,Too small. Poor quality for price.,Ordered a size 6. Looked like size 3. Was very small. Not very good quality.,1,
Toddler/Little Kid Girl's Ballet Flat Ankle Strap Shoes Party Dress Shoes Black Size: 7 Toddler,Runs extremely small,They were extremely small not true to her size at all. Pretty but no good if it don’t fit.,1,
"FRYE Women's Maya Canvas Low Lace Sneaker, Blush, 4 UK",Authentic Frye shoes,"So comfortable. Soft white leather. True to size, authentic product.",5,
"FRYE Women's Maya Canvas Low Lace Sneaker, Blush, 4 UK",Great comfy shoes and well made!,"Amazing value, super soft leather and incredibly comfortable and lightweight!",5,
"FRYE Women's Maya Canvas Low Lace Sneaker, Blush, 4 UK",Very poor leather quality,"Very poor leather quality. The sneakers are very cute and elegant but have been sitting in my closet for the past months. I don’t see myself wearing them again. I wore them for a couple of weeks and they got soiled, as all shoes do. When I tried to clean them with a damp cloth, which I always do with my soiled leather shoes, I got a discoloration as a result that was even bigger than the initial spot, and nothing can be done about it. It cannot be fixed. Unfortunately, a waste of money.",1,4 people found this helpful
"FRYE Women's Maya Canvas Low Lace Sneaker, Blush, 4 UK","Super Cute, Super Fake","Not leather, inside or out. Really smelly polyurethane smell, too. Got them for $23.00, so I'm keeping them. No wonder one of the reviewers stated that they didn't last.",1,4 people found this helpful
"FRYE Women's Maya Canvas Low Lace Sneaker, Blush, 4 UK",Great shoe but tight,"This shoe is a bit too tight and the leather shoelaces shed little pieces of leather! They did include a second pair of cotton laces, which is odd.",3,
"FRYE Women's Maya Canvas Low Lace Sneaker, Blush, 4 UK",Love them,"Super cute shoes. The leather laces are just ridiculous because they shed everywhere, but they send regular laces to change them out.",5,4 people found this helpful
"FRYE Women's Maya Canvas Low Lace Sneaker, Blush, 4 UK",Gave  me terrible blisters first day I wore them. INSOLE comes out which is good,"need to put in an insole that supports a foot I don't like wearing flat shoes so I put my own in. The top of the shoe rubbed really bad on my right foot large toe joint which is my ""good"" foot. My left foot with having had major surgeries didn't have same issue. So I am still healing from 2 bad blisters on the right toe joint a week ago.",3,One person found this helpful
"FRYE Women's Maya Canvas Low Lace Sneaker, Blush, 4 UK",really cute but narrow,"Great quality leather, narrow fit but length is true to size. They're in new condition but came in tissue in an amazon box, no frye box. the laces seem really long and thick for the shoes but overall they're super cute and a great way to dress up sneakers!",4,
"FRYE Women's Maya Canvas Low Lace Sneaker, Blush, 4 UK","Beautiful shoes, terrible comfort.","I bought these shoes despite the price tag of 140$ because they were exactly my style and when I got them I indeed loved the look, however, the first day I wore the shoes (only for 2 hours) I got a blister the size of a quarter (that have caused me to loose sleep for two days do to pain). If shoes are that pricy there is no reason why they shouldn't be built with comfort or at the very least not cause this amount of pain :(",2,
"FRYE Women's Maya Canvas Low Lace Sneaker, Blush, 4 UK",Little traction allows slip/slide!,"Great fit, but the sole is totally flat and hard, offering very little traction. Odd being able to accidentally slide while wearing a tennis shoe. Thick suede laces are not easy to use.",2,7 people found this helpful
"New Balance 860v9 Running Shoe, Gunmetal/Energy Red, 10.5 UK Child",Great New,Great shoes for kids. The pink is actually nicer in real life than photos.,5,
"New Balance 860v9 Running Shoe, Gunmetal/Energy Red, 10.5 UK Child",The shoes are either defective or counterfeit,"I bought these  June 15. The shoes are either defective or counterfeit, it’s now July 21. The return window closed 7 days agoand unfortunately these tennis shoes created a hole where my toe is. I wore them approximately one hour per day and not every day throughout the month. I’ve bought new balance, even this same style,  for years and never had this happen within the first month. They’re either defective in which case I’d like the manufacturer or seller to return them and replace with a new pair or they’re counterfeit and not made well. I’m hoping Amazon or the seller will get in touch with me so we can rectify the situation. Thank you",1,
"New Balance 860v9 Running Shoe, Gunmetal/Energy Red, 10.5 UK Child",Great shoe,"My son is flat-footed with an overpronation problem. These shoes have helped stabilize that. Plus, he is really rough on shoes, but these hold up ok. By the time he grows out of them, they are pretty demolished, but they last long enough for us.",5,4 people found this helpful
"New Balance 860v9 Running Shoe, Gunmetal/Energy Red, 10.5 UK Child",wore out quickly,These shoes wore out quickly. Fewer than 3 months and they have a big hole and the soles are separating from the shoe. We bought New Balance from the local NB store and they lasted 7 months. These were disappointing.,3,4 people found this helpful
"New Balance 860v9 Running Shoe, Gunmetal/Energy Red, 10.5 UK Child",Finally a comfortable shoe for my 11 year old's wide foot,my kid has very wide feet so sizing is always difficult but these fit true to size in XW. I ordered 4 pairs NB (all in different models in xw) and by far he says these have the best cushioning and support. only wish they had more colors.,5,2 people found this helpful
"New Balance 860v9 Running Shoe, Gunmetal/Energy Red, 10.5 UK Child",Walking on Clouds,"I bought these for my 9yo in a size 7. I came on here and saw a great deal! I got these for $18! It had to be a mistake. My daughter loves them and says she never wants to take them off they are so comfortable. Mom, it feels like I’m walking on clouds!",5,3 people found this helpful
"New Balance 860v9 Running Shoe, Gunmetal/Energy Red, 10.5 UK Child",Buy at your own risk!,Just under (2)two months and both left and right soles have split apart! Will never purchase these models of NB. Never had any other issues with the other models. Buy at your own risk and NOT recommend these shoes for the kiddos.,1,2 people found this helpful
"New Balance 860v9 Running Shoe, Gunmetal/Energy Red, 10.5 UK Child",These don't last!,"I purchased these for my daughter in June.  By the time school started in August they had holes in them.  Keep in mind my daughter was wearing flip flops most of the summer, not tennis shoes. These were not worth the money for less than two months of wear.",1,2 people found this helpful
"New Balance 860v9 Running Shoe, Gunmetal/Energy Red, 10.5 UK Child",I LOVE LOVE LOVEEEEE THEM!,I bought a pair for daily walking and running (5.5 in big kid as I'm a size 7 in women).  I've yet to experience any pain in my feet. I needed a pair of shoes to support my flat feet and the these definitely do the job. The arches are wonderful on my feet and the shoes are light. They're breathable and super bright! I've gotten many compliments. I plan on purchasing another pair before they run out!,5,
"New Balance 860v9 Running Shoe, Gunmetal/Energy Red, 10.5 UK Child","Long lasting shoe, great for pronaters",Good looking shoe. The previous pair we had of this same shoe lasted for almost a year on a boy who is really rough on shoes. Runs a little large. Great for kids who tend to walk on the insides of their feet. Nice color combination.,5,
"Clarks Men's Step Isle Lace Sneaker, Rust Canvas, 6 UK",Clarks shoes have never let me down!,Very comfortable and perfect fit. I bought this colour because it was half the price of the other colour options and I wanted the shoe for outside work so colour was of less concern. I like the colour and am wearing these shoes much more than I expected to. Excellent value.,5,
"Clarks Men's Step Isle Lace Sneaker, Rust Canvas, 6 UK",I  L O V E  ' E M ! ! !but I'm pretty sure that on a wet floor,"I'm wearing them now.  There're very light BUT very strong!  I'm not quite sure about this, but I'm pretty sure that on a wet floor, they're more stable when I put weight on them.  I simply don't want to know WITHOUT A DOUBT, because I don't want to get my insurance involved. ;]",5,One person found this helpful
"Clarks Men's Step Isle Lace Sneaker, Rust Canvas, 6 UK",Five Stars,Very comfortable and the color is accurate,5,
"Clarks Men's Step Isle Lace Sneaker, Rust Canvas, 6 UK",True to fit,Love it I have nothing bad to say about it.,5,
"Clarks Men's Step Isle Lace Sneaker, Rust Canvas, 6 UK",Five Stars,"Confy, expectrd size",5,
"Keds Women's Jump Kick Leopard Sneaker, Tan, 7 UK",super cute and pretty comfy,"These super cute, casual sneaker that are pretty comfy. I personally would prefer a bit more arch support, but they are still comfy for casual wear.  They look cute with shorts, jean, and casual dresses.  I love the little gold details, like eyelets and on the end of the shoe strings.",5,3 people found this helpful
"Keds Women's Jump Kick Leopard Sneaker, Tan, 7 UK",Terrible shoes,"These are easily the worst shoes I’ve ever owned. I love the print, but they are so uncomfortable. There is padding in the bottom and the back of the shoe, but the back of the shoe pinches my heel. I did buy gel inserts to put in the back of the shoe, and they don’t help. I was hoping that the problem would get better once they were broken in, but I’ve worn them almost daily for 2 weeks and it’s not. I will not be buying another pair of Keds.",1,One person found this helpful
"Keds Women's Jump Kick Leopard Sneaker, Tan, 7 UK",Cute but too stiff,These are so cute but I had to return them as they were way too stiff and would have caused blisters on my heels for sure. I had red marks just from trying them on. Super bummed because they are so cute.,2,
"Keds Women's Jump Kick Leopard Sneaker, Tan, 7 UK",Love them,I love these shoes. They are so comfortable!,5,
"Keds Women's Jump Kick Leopard Sneaker, Tan, 7 UK",Go ahead a purchase....they are worth it!,Beautiful and comfortable pair of shoes! I absolutely am obsessed with these!!,5,One person found this helpful
"Keds Women's Jump Kick Leopard Sneaker, Tan, 7 UK",Cute but horribly uncomfy,"Very cute but horribly uncomfortable and strange sizing. Narrow in toe area but long and stiff, rubs heel. Returning.",1,
"Keds Women's Jump Kick Leopard Sneaker, Tan, 7 UK",Beautiful shoe,"I love Keds, they are one of my favorites shoes. I especially luv the cheetah print, that is also my favorite.",5,
"Keds Women's Jump Kick Leopard Sneaker, Tan, 7 UK",Great Shoe,Perfect Fit ! Look Great! So Comfortable!,5,
"Lico Boy's Girl's Silverstar V Multisport Indoor Shoes, Turquoise (Türkis/Silber Türkis/Silber), 9.5 UK Child",Loose sole after 2 months use,Very pretty in appearance but the soles come loose after just 2 months. I do not recommend this.,1,
"adidas Women's Icon V Bounce W TPU Baseball Shoe, Collegiate Navy/Collegiate Navy/Glow Blue, 11 UK",Almost 5 star,These are great minus the fact the tongue is sewn to the insides of the shoe...maybe that is a thing they do to cleats but my first experience and makes a little difficult to get on but upside doesn’t come off easy either when untied. So otherwise 5star would have been given!,4,One person found this helpful
"adidas Women's Icon V Bounce W TPU Baseball Shoe, Collegiate Navy/Collegiate Navy/Glow Blue, 11 UK",Small fixed opening,The opening for the shoe is fixed. It doesn’t stretch and the opening is small. So unless you have an extremely petit ankle and foot area then these are nearly impossible to put on.  My 9 year old who is petite couldn’t even get these on after trying a second pair a size larger.  Disheartening considering Adidas cleats are our normal go-to.,2,
"adidas Women's Icon V Bounce W TPU Baseball Shoe, Collegiate Navy/Collegiate Navy/Glow Blue, 11 UK",Daughter loves them!,Daughter loved them. Fit was great and they look great too! Daughter is 12.,5,
"adidas Women's Icon V Bounce W TPU Baseball Shoe, Collegiate Navy/Collegiate Navy/Glow Blue, 11 UK",Perfect,"Shoes fit perfect. You have to break them in though. Overall, great fit and great look.",5,One person found this helpful
"adidas Women's Icon V Bounce W TPU Baseball Shoe, Collegiate Navy/Collegiate Navy/Glow Blue, 11 UK",Great fit!,I wear a size 9 1/2 fits perfect!,5,One person found this helpful
"Bloch Women's Curtain Call Dance Shoe, Black, 2 UK",Too small. How do I return item.,Too small. I want to return them for a pair that fit comfortably. Have two bloody blisters now.,2,2 people found this helpful
"Bloch Women's Curtain Call Dance Shoe, Black, 2 UK",Great for dancing.,"My wife recently used these every day on our cruise and found them to be excellent for dancing.  They are pretty good looking, too.",5,3 people found this helpful
"Dockers Men's Shorewood Fisherman Sandal, Briar, 6 UK",Excellent Value,First pair I ordered was too large but these fit perfectly. I normally take a 11 1/2 but a 11 was too large. 10 fits nicely. They are very nice sandals at a very reasonable price.  Very fast shipping. I ordered them just before noon on Thursday and they arrived Friday.  WoW.,5,One person found this helpful
"Dockers Men's Shorewood Fisherman Sandal, Briar, 6 UK",The insole is uncomfortable,"After I tried them on, I then bought a different type, because the insole has a ridge on one side that feels uncomfortable.(The different ones I bought next — DenverHayes Quad Comfort — feel amazing!)",2,
"Dockers Men's Shorewood Fisherman Sandal, Briar, 6 UK",Great Father's Day Gift!,"Yes, my husband was thrilled with his new Sandals! They fit very good and he was happy with the colour choice!",5,
"Dockers Men's Shorewood Fisherman Sandal, Briar, 6 UK",Perfect size,Perfect. Exact size. Very comfortable. Would buy again.,5,
"Dockers Men's Shorewood Fisherman Sandal, Briar, 6 UK",As ordered. Wish someone would make them out of leather.,As ordered. Wish someone would make them out of leather. Would have given 5 stars if had leather uppers.,3,
"Dockers Men's Shorewood Fisherman Sandal, Briar, 6 UK",Quality,The quality is not good,3,
"Dockers Men's Shorewood Fisherman Sandal, Briar, 6 UK",foam too soft,"A bit bigger.The foam will sunk in and your feet will feel the bottom.Due to a bit oversize when walking, the area near the toe cap is rubbing my toes.",3,
"adidas Women's Cloudfoam QT Racer Shoes Running, Linen/Cloud White/Glow Pink, 3.5 UK",Adidas Running Shoes,Purchased for myself but found too narrow for my feet. Gifted to my daughter whose feet are skinnier. LOLGreat price and nice looking sneakers :D,5,2 people found this helpful
"adidas Women's Cloudfoam QT Racer Shoes Running, Linen/Cloud White/Glow Pink, 3.5 UK",Product wore out after 7 weeks of use,Product wore out after 7 weeks of use on the sole and the upper mesh.  Just athletic long 10K walks 5 times a week.,1,2 people found this helpful
"adidas Women's Cloudfoam QT Racer Shoes Running, Linen/Cloud White/Glow Pink, 3.5 UK",Nice Shoes!,Fits perfect and looks great!,5,
